Year,Month,Gold Price,Oil Price,CPI
1995,January,374.9,18.39,150.5
1995,February,376.4,18.49,150.9
1995,March,392,19.17,151.2
1995,April,389.75,20.38,151.8
1995,May,384.3,18.89,152.1
1995,June,387.05,17.4,152.4
1995,July,383.35,17.56,152.6
1995,August,382.35,17.84,152.9
1995,September,384,17.54,153.1
1995,October,382.65,17.64,153.5
1995,November,387.8,18.18,153.7
1995,December,387,19.55,153.9
1996,January,405.55,17.74,154.7
1996,February,400.65,19.54,155
1996,March,396.35,21.47,155.5
1996,April,391.3,21.2,156.1
1996,May,390.55,19.76,156.4
1996,June,382,20.92,156.7
1996,July,385.3,20.42,157
1996,August,386.45,22.25,157.2
1996,September,379,24.38,157.7
1996,October,379.5,23.35,158.2
1996,November,371.3,23.75,158.7
1996,December,369.25,25.92,159.1
1997,January,345.5,24.15,159.4
1997,February,358.6,20.3,159.7
1997,March,348.15,20.41,159.8
1997,April,340.15,20.21,159.9
1997,May,345.6,20.88,159.9
1997,June,334.55,19.8,160.2
1997,July,326.35,20.14,160.4
1997,August,325.35,19.61,160.8
1997,September,332.1,21.18,161.2
1997,October,311.4,21.08,161.5
1997,November,296.8,19.15,161.7
1997,December,290.2,17.64,161.8
1998,January,304.85,17.21,162
1998,February,297.4,15.44,162
1998,March,301,15.61,162
1998,April,310.7,15.39,162.2
1998,May,293.6,15.2,162.6
1998,June,296.3,14.18,162.8
1998,July,288.85,14.21,163.2
1998,August,273.4,13.34,163.4
1998,September,293.85,16.14,163.5
1998,October,292.3,14.42,163.9
1998,November,294.7,11.22,164.1
1998,December,287.8,12.05,164.4
1999,January,285.4,12.75,164.7
1999,February,287.05,12.27,164.7
1999,March,279.45,16.76,164.8
1999,April,286.6,18.66,165.9
1999,May,268.6,16.84,166
1999,June,261,19.29,166
1999,July,255.6,20.53,166.7
1999,August,254.8,22.11,167.1
1999,September,299,24.51,167.8
1999,October,299.1,21.75,168.1
1999,November,291.35,24.59,168.4
1999,December,290.25,25.6,168.8
2000,January,283.3,27.64,169.3
2000,February,293.65,30.43,170
2000,March,276.75,26.9,171
2000,April,275.05,25.74,170.9
2000,May,272.25,29.01,171.2
2000,June,288.15,32.5,172.2
2000,July,276.75,27.43,172.7
2000,August,277,33.12,172.7
2000,September,273.65,30.84,173.6
2000,October,264.5,32.7,173.9
2000,November,269.1,33.82,174.2
2000,December,274.45,26.8,174.6
2001,January,264.5,28.66,175.6
2001,February,266.7,27.39,176
2001,March,257.7,26.29,176.1
2001,April,263.2,28.46,176.4
2001,May,267.5,28.37,177.3
2001,June,270.6,26.25,177.7
2001,July,265.9,26.35,177.4
2001,August,273,27.2,177.4
2001,September,293.1,23.43,178.1
2001,October,278.75,21.18,177.6
2001,November,275.5,19.44,177.5
2001,December,276.5,19.84,177.4
2002,January,282.3,19.48,177.7
2002,February,296.85,21.74,178
2002,March,301.4,26.31,178.5
2002,April,308.2,27.29,179.3
2002,May,326.6,25.31,179.5
2002,June,318.5,26.86,179.6
2002,July,304.65,27.02,180
2002,August,312.8,28.98,180.5
2002,September,323.7,30.45,180.8
2002,October,316.9,27.22,181.2
2002,November,319.05,26.89,181.5
2002,December,347.2,31.2,181.8
2003,January,367.5,33.51,182.6
2003,February,347.45,36.6,183.6
2003,March,334.9,31.04,183.9
2003,April,336.75,25.8,183.2
2003,May,361.4,29.56,182.9
2003,June,346,30.19,183.1
2003,July,354.75,30.54,183.7
2003,August,375.6,31.57,184.5
2003,September,388,29.2,185.1
2003,October,386.25,29.11,184.9
2003,November,398.35,30.41,185
2003,December,416.25,32.52,185.5
2004,January,399.75,33.05,186.3
2004,February,395.85,36.16,186.7
2004,March,423.7,35.76,187.1
2004,April,388.5,37.38,187.4
2004,May,393.3,39.88,188.2
2004,June,395.8,37.05,188.9
2004,July,391.4,43.8,189.1
2004,August,407.25,42.12,189.2
2004,September,415.65,49.64,189.8
2004,October,425.55,51.76,190.8
2004,November,453.4,49.13,191.7
2004,December,435.6,43.45,191.7
2005,January,422.2,48.2,191.6
2005,February,435.5,51.75,192.4
2005,March,427.5,55.4,193.1
2005,April,435.7,49.72,193.7
2005,May,414.45,51.97,193.6
2005,June,437.1,56.5,193.7
2005,July,429,60.57,194.9
2005,August,433.25,68.94,196.1
2005,September,473.25,66.24,198.8
2005,October,470.8,59.76,199.1
2005,November,495.65,57.32,198.1
2005,December,513,61.04,198.1
2006,January,568.75,67.92,199.3
2006,February,556,61.41,199.4
2006,March,582,66.63,199.7
2006,April,644,71.88,200.7
2006,May,653,71.29,201.3
2006,June,613.5,73.93,201.8
2006,July,632.5,74.4,202.9
2006,August,623.5,70.26,203.8
2006,September,599.25,62.91,202.8
2006,October,603.75,58.73,201.9
2006,November,646.7,63.13,202
2006,December,632,61.05,203.1
2007,January,650.5,58.14,203.44
2007,February,664.2,61.79,204.23
2007,March,661.75,65.87,205.29
2007,April,677,65.71,205.9
2007,May,659.1,64.01,206.76
2007,June,650.5,70.68,207.23
2007,July,665.5,78.21,207.6
2007,August,672,74.04,207.67
2007,September,743,81.66,208.55
2007,October,789.5,94.53,209.19
2007,November,783.5,88.71,210.83
2007,December,833.8,95.98,211.45
2008,January,923.25,91.75,212.17
2008,February,971.5,101.84,212.69
2008,March,933.5,101.58,213.45
2008,April,871,113.46,213.94
2008,May,885.75,127.35,215.21
2008,June,930.3,140,217.46
2008,July,918,124.08,219.02
2008,August,833,115.46,218.69
2008,September,884.5,100.64,218.88
2008,October,730.75,67.81,217
2008,November,814.5,54.43,213.15
2008,December,869.75,44.6,211.4
2009,January,919.5,41.68,211.93
2009,February,952,44.76,212.71
2009,March,916.5,49.66,212.5
2009,April,883.25,51.12,212.71
2009,May,975.5,66.31,213.02
2009,June,934.5,69.89,214.79
2009,July,939,69.45,214.73
2009,August,955.5,69.96,215.45
2009,September,995.75,70.61,215.86
2009,October,"1,040.00",77,216.51
2009,November,"1,175.80",77.28,217.23
2009,December,"1,087.50",79.36,217.35
2010,January,"1,078.50",72.89,217.49
2010,February,"1,108.25",79.66,217.28
2010,March,"1,115.50",83.76,217.35
2010,April,"1,179.25",86.15,217.4
2010,May,"1,207.50",73.97,217.29
2010,June,"1,244.00",75.63,217.2
2010,July,"1,169.00",78.95,217.61
2010,August,"1,246.00",71.92,217.92
2010,September,"1,307.00",79.97,218.28
2010,October,"1,346.80",81.43,219.04
2010,November,"1,383.50",84.11,219.59
2010,December,"1,405.50",91.38,220.47
2011,January,"1,327.00",92.19,221.19
2011,February,"1,411.00",96.97,221.9
2011,March,"1,439.00",106.72,223.05
2011,April,"1,535.50",113.93,224.09
2011,May,"1,536.50",102.7,224.81
2011,June,"1,505.50",95.42,224.81
2011,July,"1,628.50",95.7,225.4
2011,August,"1,813.50",88.81,226.11
2011,September,"1,620.00",79.2,226.6
2011,October,"1,722.00",93.19,226.75
2011,November,"1,746.00",100.36,227.17
2011,December,"1,531.00",98.83,227.22
2012,January,"1,744.00",98.48,227.84
2012,February,"1,770.00",107.07,228.33
2012,March,"1,662.50",103.02,228.81
2012,April,"1,651.30",104.87,229.19
2012,May,"1,558.00",86.53,228.71
2012,June,"1,598.50",84.96,228.52
2012,July,"1,622.00",88.06,228.59
2012,August,"1,648.50",96.47,229.92
2012,September,"1,776.00",92.19,231.02
2012,October,"1,719.00",86.24,231.64
2012,November,"1,726.00",88.91,231.25
2012,December,"1,657.50",91.82,231.22
2013,January,"1,664.80",97.49,231.61
2013,February,"1,588.50",92.05,232.99
2013,March,"1,598.30",97.23,232.3
2013,April,"1,469.00",93.46,231.8
2013,May,"1,394.50",91.97,231.92
2013,June,"1,192.00",96.56,232.37
2013,July,"1,314.50",105.03,232.89
2013,August,"1,394.80",107.65,233.32
2013,September,"1,326.50",102.33,233.63
2013,October,"1,324.00",96.38,233.72
2013,November,"1,253.00",92.72,234.12
2013,December,"1,204.50",98.42,234.72
2014,January,"1,251.00",97.49,235.39
2014,February,"1,326.50",102.59,235.67
2014,March,"1,291.80",101.58,235.98
2014,April,"1,288.50",99.74,236.47
2014,May,"1,250.50",102.71,236.83
2014,June,"1,315.00",105.37,237.03
2014,July,"1,285.30",98.17,237.42
2014,August,"1,285.80",95.96,237.26
2014,September,"1,216.50",91.16,237.49
2014,October,"1,164.30",80.54,237.51
2014,November,"1,182.80",66.15,237.12
2014,December,"1,206.00",53.27,236.29
2015,January,"1,260.30",48.24,234.91
2015,February,"1,214.00",49.76,235.49
2015,March,"1,187.00",47.6,235.99
2015,April,"1,180.30",59.63,236.2
2015,May,"1,191.40",60.3,236.89
2015,June,"1,171.00",59.47,237.42
2015,July,"1,098.40",47.12,237.88
2015,August,"1,135.00",49.2,237.81
2015,September,"1,114.00",45.09,237.47
2015,October,"1,142.35",46.59,237.79
2015,November,"1,061.90",41.65,238.15
2015,December,"1,060.00",37.04,237.85
2016,January,"1,111.80",33.62,238.11
2016,February,"1,234.90",33.75,237.81
2016,March,"1,237.00",38.34,238.08
2016,April,"1,285.65",45.92,238.91
2016,May,"1,212.10",49.1,239.36
2016,June,"1,320.75",48.33,239.84
2016,July,"1,342.00",41.6,239.9
2016,August,"1,309.25",44.7,240.39
2016,September,"1,322.50",48.24,241.01
2016,October,"1,272.00",46.86,241.69
2016,November,"1,178.10",49.44,242.2
2016,December,"1,145.90",53.72,242.82
2017,January,"1,212.80",52.81,244.16
2017,February,"1,255.60",54.01,244.46
2017,March,"1,244.90",50.6,
